timestamp,lights,fan,ac_status,ac_temperature,ac_mode,heater_switch,laundry_machine,temperature,humidity,distance,season,soil,pump,ac_energy,ac_status_duration,heater_energy,heater_switch_duration,lights_energy,lights_duration,laundry_energy,laundry_machine_duration,fan_energy,fan_duration,pump_duration
2020-04-12 08:00:00,off,off,off,20.0,heat,off,off,22.0,56.4,38.4,spring,2259,on,11.52,77.1,5.38,26.7,2.11,53.2,10.46,114.4,3.69,70.2,0.1
2020-04-12 12:00:00,off,on,off,21.0,heat,on,off,21.0,60.6,0.0018,spring,2248,on,8.64,48.6,7.15,27.3,7.33,41.8,16.2,115.2,4.43,208.7,0.1
2020-04-12 14:00:00,off,on,off,19.0,heat,off,off,22.5,89.0,40.7,spring,2259,on,19.15,141.4,9.39,12.1,4.73,84.4,16.75,99.9,3.16,65.2,0.1
2020-04-12 18:00:00,off,off,on,16.0,heat,off,off,19.5,12.8,0.0077,spring,2249,on,12.47,80.0,7.19,23.9,2.26,112.3,36.16,152.2,2.56,94.1,0.1
2020-04-12 20:00:00,on,on,off,21.0,heat,on,on,22.9,67.5,0.0078,spring,2235,on,15.4,159.8,6.86,21.1,11.81,279.0,10.72,74.6,3.25,118.0,0.1
2020-04-13 08:00:00,off,off,off,24.0,cool,off,off,23.7,75.6,95.2,spring,2261,on,12.29,81.4,9.94,24.9,3.92,119.8,11.08,89.9,2.27,118.1,0.1
2020-04-13 12:00:00,off,off,off,19.0,heat,off,off,22.4,93.1,13.1,spring,2220,on,10.57,51.3,5.81,15.7,6.08,80.9,11.14,38.6,5.68,214.2,0.1
2020-04-13 14:00:00,off,off,on,17.0,heat,off,off,18.9,70.0,21.4,spring,2245,on,26.09,115.2,9.49,20.1,7.51,92.3,24.49,141.5,3.72,62.7,0.1
2020-04-13 18:00:00,off,on,on,19.0,heat,on,off,19.9,9.5,0.0004,spring,2213,on,13.03,52.1,5.56,27.4,2.1,49.2,36.33,84.8,3.5,95.4,0.1
2020-04-13 20:00:00,on,on,on,17.0,heat,off,on,19.7,47.9,0.0089,spring,2225,on,16.82,140.3,7.98,23.5,11.49,265.3,36.37,57.9,2.44,71.6,0.1
2020-04-14 08:00:00,off,off,off,27.0,cool,off,off,24.9,69.0,20.4,spring,2286,on,12.51,86.5,6.23,26.2,4.28,70.1,10.81,77.8,2.94,112.1,0.1
2020-04-14 12:00:00,off,on,off,25.0,heat,off,off,21.5,90.5,0.0089,spring,2267,on,8.73,54.7,8.42,26.4,9.27,50.0,23.79,69.4,5.48,205.5,0.1
2020-04-14 14:00:00,off,off,off,19.0,heat,on,off,21.2,73.2,34.6,spring,2299,on,24.51,171.2,8.81,24.1,2.05,81.4,18.87,31.9,2.87,67.5,0.1
2020-04-14 18:00:00,off,on,off,18.0,heat,on,off,21.6,14.0,0.0064,spring,2244,on,14.42,77.8,9.43,13.2,4.42,39.9,37.98,137.3,2.5,78.0,0.1
2020-04-14 20:00:00,on,on,off,20.0,heat,off,on,22.0,25.0,0.0009,spring,2279,on,21.19,153.5,6.38,11.3,18.07,239.8,25.17,156.7,3.11,105.1,0.1
2020-04-15 08:00:00,off,on,on,18.0,heat,off,off,19.4,88.1,96.8,spring,2263,on,10.39,64.6,6.94,23.2,2.45,96.4,30.22,146.4,3.88,87.2,0.1
2020-04-15 12:00:00,off,on,off,23.0,cool,off,off,23.2,21.5,0.0068,spring,2268,on,7.68,74.7,5.77,20.1,8.93,84.3,30.53,113.2,5.99,235.2,0.1
2020-04-15 14:00:00,off,off,off,27.0,cool,on,off,24.1,69.7,93.0,spring,2259,on,20.73,166.1,8.43,19.3,3.54,57.0,15.8,99.6,3.63,98.7,0.1
2020-04-15 18:00:00,off,on,on,20.0,heat,on,off,18.2,74.4,16.6,spring,2203,on,12.3,79.9,6.98,10.4,3.64,30.9,25.46,61.5,2.25,120.0,0.1
2020-04-15 20:00:00,on,off,off,23.0,heat,on,on,22.2,34.1,0.0071,spring,2201,on,21.09,157.2,8.26,23.2,18.79,257.9,12.43,110.5,2.3,70.4,0.1
2020-04-16 08:00:00,off,on,off,27.0,cool,on,off,23.2,63.4,68.4,spring,2283,on,12.43,79.9,5.83,27.4,5.34,106.0,30.16,45.7,3.24,92.5,0.1
2020-04-16 12:00:00,off,on,off,24.0,cool,off,off,23.7,48.7,0.0087,spring,2236,on,8.82,78.9,8.51,29.0,4.61,77.5,29.6,165.3,6.44,182.2,0.1
2020-04-16 14:00:00,off,on,on,22.0,heat,off,off,19.4,88.8,77.8,spring,2213,on,23.64,175.1,5.92,29.0,2.38,44.7,28.01,60.1,3.15,111.1,0.1
2020-04-16 18:00:00,off,on,off,22.0,heat,off,off,20.5,76.7,0.0068,spring,2250,on,12.33,77.2,6.26,27.8,7.54,82.3,36.06,176.7,3.69,82.8,0.1
2020-04-16 20:00:00,on,off,on,22.0,heat,on,off,18.7,88.3,5.8,spring,2208,on,19.03,138.1,7.37,16.6,10.85,192.2,33.4,78.1,2.02,117.0,0.1
2020-04-17 08:00:00,off,off,off,28.0,cool,on,off,24.7,44.0,53.1,spring,2297,on,9.3,87.3,8.59,13.2,8.7,65.5,11.46,151.6,3.06,68.8,0.1
2020-04-17 12:00:00,off,on,on,20.0,heat,on,off,19.7,80.1,0.0098,spring,2238,on,13.88,67.3,8.71,10.7,9.7,106.8,34.69,42.7,5.7,190.5,0.1
2020-04-17 14:00:00,off,on,off,25.0,cool,on,off,24.9,64.4,75.6,spring,2220,on,28.12,130.3,7.73,22.2,5.8,113.6,24.07,57.8,2.87,81.3,0.1
2020-04-17 18:00:00,off,off,off,19.0,heat,on,off,22.8,79.3,0.0091,spring,2299,on,8.25,69.3,5.95,16.6,5.18,95.3,11.41,152.7,2.38,108.5,0.1
2020-04-17 20:00:00,on,off,off,25.0,cool,off,on,24.9,8.9,0.0065,spring,2298,on,17.57,170.5,9.35,11.5,11.8,220.9,32.26,130.8,2.53,73.3,0.1
2020-04-18 08:00:00,off,on,off,24.0,heat,off,off,20.2,56.6,75.1,spring,2273,on,10.88,74.1,9.14,21.7,8.09,61.4,12.93,115.3,3.71,87.8,0.1
2020-04-18 12:00:00,off,on,off,18.0,heat,off,off,22.7,17.5,0.0033,spring,2269,on,11.33,55.0,5.97,19.7,3.69,110.7,19.06,99.9,6.86,207.5,0.1
2020-04-18 14:00:00,off,on,on,18.0,heat,on,off,19.2,35.1,78.0,spring,2278,on,29.62,165.6,8.9,17.8,4.64,72.7,15.08,31.0,2.75,98.1,0.1
2020-04-18 18:00:00,off,on,off,27.0,heat,off,off,22.9,9.5,0.0003,spring,2249,on,14.44,45.9,7.41,23.4,8.15,68.1,29.79,137.6,3.91,82.1,0.1
2020-04-18 20:00:00,on,on,on,20.0,heat,off,on,19.7,2.0,0.0043,spring,2220,on,15.61,91.9,8.64,17.9,16.18,230.6,27.6,165.6,2.07,70.4,0.1
2020-04-19 08:00:00,off,on,off,21.0,cool,on,off,24.4,26.2,52.7,spring,2254,on,9.06,48.6,8.59,20.4,2.12,91.8,19.94,144.8,3.25,79.2,0.1
2020-04-19 12:00:00,off,off,off,22.0,heat,off,off,20.6,64.1,0.0085,spring,2217,on,13.88,46.2,8.88,12.4,8.44,66.4,11.96,145.3,5.0,188.8,0.1
2020-04-19 14:00:00,off,off,off,25.0,heat,on,off,21.3,39.8,73.2,spring,2235,on,24.72,173.8,5.15,13.9,7.33,110.4,10.97,147.3,2.52,114.3,0.1
2020-04-19 18:00:00,off,off,on,21.0,heat,off,off,19.5,57.6,0.0012,spring,2223,on,9.47,89.0,7.74,13.3,8.18,95.1,13.09,125.2,3.5,62.0,0.1
2020-04-19 20:00:00,on,off,off,29.0,cool,on,off,24.8,52.8,16.0,spring,2245,on,19.49,165.4,7.02,29.5,15.36,211.6,19.72,40.8,3.8,77.1,0.1
2020-04-20 08:00:00,off,off,off,24.0,cool,off,off,24.9,40.4,91.4,spring,2274,on,12.64,89.5,7.48,21.0,8.59,96.4,16.24,41.0,3.48,60.5,0.1
2020-04-20 12:00:00,off,on,off,17.0,heat,off,off,20.6,47.1,0.0025,spring,2253,on,11.64,89.1,6.26,29.9,8.85,41.7,18.23,114.4,5.48,237.6,0.1
2020-04-20 14:00:00,off,on,off,21.0,heat,on,off,22.6,3.3,82.2,spring,2299,on,26.07,138.3,9.75,16.4,3.62,58.9,21.27,92.0,2.29,117.5,0.1
2020-04-20 18:00:00,off,on,off,24.0,heat,on,off,22.3,65.4,0.0023,spring,2245,on,13.71,61.2,6.23,22.2,5.71,65.9,34.82,104.0,3.02,72.7,0.1
2020-04-20 20:00:00,on,off,on,25.0,heat,on,on,19.9,27.1,0.0031,spring,2291,on,28.5,178.1,6.18,10.8,14.12,250.1,22.85,103.9,3.92,79.9,0.1
2020-04-21 08:00:00,off,off,on,19.0,heat,off,off,18.8,20.2,93.3,spring,2264,on,8.58,87.2,8.3,10.3,5.67,83.8,19.65,144.8,3.79,60.8,0.1
2020-04-21 12:00:00,off,off,on,20.0,heat,on,off,18.7,89.2,0.0044,spring,2253,on,11.31,75.7,9.85,25.0,4.9,56.7,30.19,103.1,4.12,223.3,0.1
2020-04-21 14:00:00,off,on,off,24.0,cool,off,off,24.7,9.3,40.3,spring,2287,on,18.39,164.5,9.24,21.5,5.87,103.2,31.6,140.0,3.14,86.9,0.1
2020-04-21 18:00:00,off,off,on,18.0,heat,off,off,19.4,30.2,3.9,spring,2243,on,8.05,49.9,9.17,26.3,6.57,32.5,32.65,83.4,2.66,73.2,0.1
2020-04-21 20:00:00,on,off,off,28.0,cool,off,on,24.0,7.8,0.0039,spring,2210,on,28.95,96.7,9.27,23.8,13.58,220.7,14.69,118.5,3.67,72.3,0.1
2020-04-22 08:00:00,off,off,off,27.0,cool,on,off,23.4,57.9,49.7,spring,2278,on,8.87,85.7,6.57,12.0,8.92,40.5,33.99,105.9,2.42,118.9,0.1
2020-04-22 12:00:00,off,off,off,19.0,heat,off,off,22.7,39.7,0.0034,spring,2204,on,14.29,87.6,6.44,13.8,6.96,66.4,22.18,150.6,6.47,204.9,0.1
2020-04-22 14:00:00,off,off,on,22.0,heat,off,off,18.3,38.5,98.2,spring,2292,on,19.25,163.3,6.52,20.4,4.2,92.5,33.45,117.3,2.04,85.5,0.1
2020-04-22 18:00:00,off,on,off,21.0,heat,on,off,20.2,20.5,0.0061,spring,2265,on,10.46,60.4,7.13,23.5,2.01,36.8,31.65,175.1,2.1,99.4,0.1
2020-04-22 20:00:00,on,on,off,27.0,cool,off,on,23.8,25.9,0.0054,spring,2266,on,17.91,130.7,5.78,12.2,17.48,180.4,25.75,50.3,2.18,92.5,0.1
2020-04-23 08:00:00,off,on,on,23.0,heat,off,off,18.5,16.7,92.1,spring,2247,on,10.08,88.0,5.22,19.4,3.25,77.0,37.62,34.6,2.44,96.1,0.1
