Space,Room,Timestamp,Temperature,AC Status,AC Desired Temperature,Light Sensor Value,Light Device Status
SPACE_1,ROOM_1,2024-12-23 20:19:58,24.85,on,24,107.23,on
SPACE_1,ROOM_2,2024-12-23 20:19:58,24.96,on,24,102.22,on
SPACE_1,ROOM_3,2024-12-23 20:19:58,24.53,on,24,222.95,on
SPACE_2,ROOM_1,2024-12-23 20:19:58,24.72,on,24,258.69,on
SPACE_2,ROOM_2,2024-12-23 20:19:58,23.94,on,24,213.32,on
SPACE_2,ROOM_3,2024-12-23 20:19:58,24.34,on,24,280.5,on
SPACE_1,ROOM_1,2024-12-23 20:20:58,23.39,on,24,260.2,on
SPACE_1,ROOM_2,2024-12-23 20:20:58,24.68,on,24,137.25,on
SPACE_1,ROOM_3,2024-12-23 20:20:58,23.57,on,24,198.68,on
SPACE_2,ROOM_1,2024-12-23 20:20:58,24.28,on,24,161.36,on
SPACE_2,ROOM_2,2024-12-23 20:20:58,24.01,on,24,135.49,on
SPACE_2,ROOM_3,2024-12-23 20:20:58,23.82,on,24,282.65,on
SPACE_1,ROOM_1,2024-12-23 20:21:58,23.63,on,24,221.02,on
SPACE_1,ROOM_2,2024-12-23 20:21:58,23.74,on,24,245.66,on
SPACE_1,ROOM_3,2024-12-23 20:21:58,24.14,on,24,192.61,on
SPACE_2,ROOM_1,2024-12-23 20:21:58,23.97,on,24,270.22,on
SPACE_2,ROOM_2,2024-12-23 20:21:58,24.82,on,24,250.34,on
SPACE_2,ROOM_3,2024-12-23 20:21:58,24.57,on,24,202.93,on
SPACE_1,ROOM_1,2024-12-23 20:22:58,23.01,on,24,219.42,on
SPACE_1,ROOM_2,2024-12-23 20:22:58,23.32,on,24,136.23,on
SPACE_1,ROOM_3,2024-12-23 20:22:58,23.0,on,24,102.49,on
SPACE_2,ROOM_1,2024-12-23 20:22:58,23.45,on,24,102.14,on
SPACE_2,ROOM_2,2024-12-23 20:22:58,23.12,on,24,172.21,on
SPACE_2,ROOM_3,2024-12-23 20:22:58,24.67,on,24,129.04,on
SPACE_1,ROOM_1,2024-12-23 20:23:58,23.71,on,24,193.0,on
SPACE_1,ROOM_2,2024-12-23 20:23:58,23.49,on,24,151.62,on
SPACE_1,ROOM_3,2024-12-23 20:23:58,23.44,on,24,153.78,on
SPACE_2,ROOM_1,2024-12-23 20:23:58,23.16,on,24,233.06,on
SPACE_2,ROOM_2,2024-12-23 20:23:58,23.67,on,24,243.31,on
SPACE_2,ROOM_3,2024-12-23 20:23:58,24.98,on,24,161.72,on
SPACE_1,ROOM_1,2024-12-23 20:24:58,24.41,on,24,295.69,on
SPACE_1,ROOM_2,2024-12-23 20:24:58,23.36,on,24,140.81,on
SPACE_1,ROOM_3,2024-12-23 20:24:58,23.37,on,24,249.38,on
SPACE_2,ROOM_1,2024-12-23 20:24:58,23.56,on,24,180.4,on
SPACE_2,ROOM_2,2024-12-23 20:24:58,23.49,on,24,201.99,on
SPACE_2,ROOM_3,2024-12-23 20:24:58,24.84,on,24,286.65,on
SPACE_1,ROOM_1,2024-12-23 20:25:58,23.62,on,24,133.08,on
SPACE_1,ROOM_2,2024-12-23 20:25:58,23.47,on,24,108.79,on
SPACE_1,ROOM_3,2024-12-23 20:25:58,24.4,on,24,233.89,on
SPACE_2,ROOM_1,2024-12-23 20:25:58,24.99,on,24,257.47,on
SPACE_2,ROOM_2,2024-12-23 20:25:58,23.55,on,24,217.6,on
SPACE_2,ROOM_3,2024-12-23 20:25:58,23.43,on,24,110.14,on
SPACE_1,ROOM_1,2024-12-23 20:26:58,24.71,on,24,211.25,on
SPACE_1,ROOM_2,2024-12-23 20:26:58,23.7,on,24,258.89,on
SPACE_1,ROOM_3,2024-12-23 20:26:58,23.53,on,24,244.83,on
SPACE_2,ROOM_1,2024-12-23 20:26:58,24.49,on,24,109.44,on
SPACE_2,ROOM_2,2024-12-23 20:26:58,23.38,on,24,239.7,on
SPACE_2,ROOM_3,2024-12-23 20:26:58,24.97,on,24,282.7,on
SPACE_1,ROOM_1,2024-12-23 20:27:58,24.32,on,24,227.21,on
SPACE_1,ROOM_2,2024-12-23 20:27:58,24.72,on,24,161.67,on
SPACE_1,ROOM_3,2024-12-23 20:27:58,24.75,on,24,266.83,on
SPACE_2,ROOM_1,2024-12-23 20:27:58,23.18,on,24,125.38,on
SPACE_2,ROOM_2,2024-12-23 20:27:58,23.37,on,24,107.25,on
SPACE_2,ROOM_3,2024-12-23 20:27:58,23.56,on,24,215.24,on
SPACE_1,ROOM_1,2024-12-23 20:28:58,24.82,on,24,184.14,on
SPACE_1,ROOM_2,2024-12-23 20:28:58,24.62,on,24,197.1,on
SPACE_1,ROOM_3,2024-12-23 20:28:58,23.89,on,24,140.36,on
SPACE_2,ROOM_1,2024-12-23 20:28:58,24.25,on,24,128.13,on
SPACE_2,ROOM_2,2024-12-23 20:28:58,24.78,on,24,178.07,on
SPACE_2,ROOM_3,2024-12-23 20:28:58,23.2,on,24,290.67,on
SPACE_1,ROOM_1,2024-12-23 20:29:58,23.89,on,24,146.89,on
SPACE_1,ROOM_2,2024-12-23 20:29:58,23.96,on,24,293.86,on
SPACE_1,ROOM_3,2024-12-23 20:29:58,24.79,on,24,132.97,on
SPACE_2,ROOM_1,2024-12-23 20:29:58,23.59,on,24,251.99,on
SPACE_2,ROOM_2,2024-12-23 20:29:58,24.67,on,24,171.95,on
SPACE_2,ROOM_3,2024-12-23 20:29:58,23.83,on,24,237.2,on
SPACE_1,ROOM_1,2024-12-23 20:30:58,24.79,on,24,184.4,on
SPACE_1,ROOM_2,2024-12-23 20:30:58,23.9,on,24,105.13,on
