timestamp,lights,fan,ac_status,ac_temperature,ac_mode,heater_switch,laundry_machine,temperature,humidity,distance,season,soil,pump,ac_energy,ac_duration,heater_energy,heater_duration,lights_energy,lights_duration,laundry_energy,laundry_duration,fan_energy,fan_duration,pump_duration
2020-04-12 08:00:00,off,on,off,24.0,cool,on,off,24.6,79.9,87.0,spring,2236,on,11.22,61.9,5.85,18.8,3.17,114.0,13.72,148.3,2.82,118.4,1
2020-04-12 12:00:00,off,on,off,24.0,cool,off,off,23.2,21.1,0.0005,spring,2282,on,8.51,63.3,6.14,23.6,5.06,94.4,10.71,135.9,5.51,181.4,1
2020-04-12 14:00:00,off,on,off,20.0,heat,off,off,20.7,7.6,35.7,spring,2277,on,28.14,97.7,6.84,23.5,3.73,39.4,21.05,150.2,2.98,111.0,1
2020-04-12 18:00:00,off,off,off,21.0,heat,off,off,22.1,55.6,0.0062,spring,2294,on,13.53,53.3,5.05,11.9,3.11,45.6,33.08,88.0,3.36,61.3,1
2020-04-12 20:00:00,on,on,off,25.0,heat,on,on,22.0,79.8,0.0074,spring,2286,on,18.55,146.0,9.27,21.2,15.84,201.3,23.95,77.3,2.63,119.8,1
2020-04-13 08:00:00,off,off,off,24.0,cool,on,off,24.3,97.1,75.3,spring,2282,on,9.05,48.1,5.89,13.0,5.74,46.6,37.08,76.1,3.57,100.7,1
2020-04-13 12:00:00,off,off,off,18.0,heat,on,off,22.2,81.4,0.0071,spring,2269,on,11.7,72.2,5.96,10.6,8.62,105.9,30.67,136.8,6.2,237.7,1
2020-04-13 14:00:00,off,off,off,17.0,heat,on,off,21.6,54.5,43.5,spring,2236,on,27.28,104.8,8.4,15.0,7.62,101.5,21.72,119.0,3.07,62.1,1
2020-04-13 18:00:00,off,off,off,16.0,heat,off,off,20.8,60.7,0.0014,spring,2276,on,12.81,80.3,9.94,14.9,8.83,63.9,33.55,120.8,2.25,111.2,1
2020-04-13 20:00:00,on,on,off,20.0,heat,on,on,21.2,12.1,0.0027,spring,2245,on,24.96,138.4,8.78,14.0,14.1,273.8,38.7,52.9,3.99,110.1,1
2020-04-14 08:00:00,off,on,off,22.0,cool,on,off,23.2,15.0,67.2,spring,2227,on,8.77,55.7,5.32,10.1,5.49,68.9,23.13,44.7,2.13,78.1,1
2020-04-14 12:00:00,off,off,off,26.0,heat,on,off,21.6,10.4,0.0047,spring,2208,on,11.87,76.6,7.97,28.8,7.41,70.2,31.54,89.2,4.35,188.6,1
2020-04-14 14:00:00,off,off,off,22.0,cool,off,off,23.7,89.1,51.8,spring,2274,on,23.33,152.0,9.96,25.5,3.1,75.8,35.73,141.5,3.85,107.5,1
2020-04-14 18:00:00,off,off,on,22.0,heat,off,off,18.2,15.2,0.0034,spring,2281,on,10.39,62.9,6.02,26.5,2.32,101.6,21.66,100.9,2.08,72.2,1
2020-04-14 20:00:00,on,off,off,18.0,heat,on,on,21.2,68.9,0.0049,spring,2276,on,25.94,126.0,5.78,14.4,15.16,276.8,20.47,81.6,2.48,66.9,1
2020-04-15 08:00:00,off,off,off,23.0,cool,on,off,23.6,92.0,46.5,spring,2300,on,8.02,71.9,8.13,14.6,7.98,39.0,27.81,154.1,2.86,96.6,1
2020-04-15 12:00:00,off,off,off,18.0,heat,off,off,21.4,70.7,0.0022,spring,2223,on,13.03,58.3,5.17,25.3,8.58,43.9,37.69,176.9,5.53,198.0,1
2020-04-15 14:00:00,off,on,off,25.0,heat,on,off,22.9,41.4,84.3,spring,2297,on,17.4,117.4,5.78,25.7,8.6,96.6,29.06,169.9,2.3,100.5,1
2020-04-15 18:00:00,off,on,on,22.0,heat,on,off,18.0,24.7,0.003,spring,2260,on,8.0,78.4,7.5,13.7,5.69,81.3,27.9,153.8,3.4,111.7,1
2020-04-15 20:00:00,on,off,off,22.0,heat,off,on,22.8,69.6,0.0083,spring,2255,on,28.4,136.0,8.63,22.4,16.63,246.0,34.16,135.3,2.69,89.6,1
2020-04-16 08:00:00,off,on,on,23.0,heat,on,off,18.0,82.4,81.7,spring,2253,on,10.75,62.6,8.3,22.8,2.51,100.2,26.03,123.1,2.47,98.5,1
2020-04-16 12:00:00,off,off,off,20.0,heat,off,off,23.0,56.9,0.0071,spring,2245,on,12.47,45.3,9.93,12.6,7.26,98.7,11.61,62.6,4.22,209.1,1
2020-04-16 14:00:00,off,off,off,24.0,heat,on,off,20.1,99.9,94.3,spring,2241,on,16.65,100.9,9.97,10.3,9.42,43.4,35.12,144.1,3.86,111.9,1
2020-04-16 18:00:00,off,off,off,20.0,cool,on,off,23.4,7.0,0.0047,spring,2278,on,10.85,46.3,5.7,18.3,6.7,58.7,27.46,104.4,3.54,92.0,1
2020-04-16 20:00:00,on,on,off,23.0,cool,off,on,24.8,59.7,0.0062,spring,2245,on,26.65,126.6,5.86,23.2,16.81,282.9,28.43,91.5,2.39,84.7,1
2020-04-17 08:00:00,off,off,off,26.0,cool,off,off,23.6,51.7,90.1,spring,2208,on,9.57,87.5,7.45,13.2,4.88,66.5,10.07,70.8,2.68,71.0,1
2020-04-17 12:00:00,off,off,on,16.0,heat,on,off,18.3,54.2,0.0087,spring,2227,on,12.35,58.7,6.78,14.9,7.8,102.0,12.17,119.3,4.75,224.9,1
2020-04-17 14:00:00,off,off,off,22.0,heat,on,off,21.5,76.8,65.9,spring,2202,on,18.12,176.8,5.2,28.0,4.44,81.1,14.25,151.7,3.59,87.4,1
2020-04-17 18:00:00,off,on,off,22.0,heat,off,off,22.0,22.1,0.0068,spring,2292,on,14.25,85.5,7.66,22.3,7.96,93.1,24.99,86.7,2.14,76.5,1
2020-04-17 20:00:00,on,on,off,27.0,cool,on,on,23.9,88.2,0.0013,spring,2257,on,18.87,115.5,5.56,14.3,15.95,299.1,35.95,101.9,2.15,69.5,1
2020-04-18 08:00:00,off,on,on,24.0,heat,off,off,19.3,12.1,65.5,spring,2259,on,8.28,83.3,8.62,24.8,5.57,38.7,21.15,151.5,2.28,104.8,1
